,End of the Year,Currency Issues of the CBSL,Government Agencies Deposit with CBSL,Commercial Bank Deposit with CBSL,Total,M1,M2,M2b,M2 velocity,M2b velocity
223,2006 Aug  ,967151.3494,28.99795814,122085.2899,1089265.637,1.244137738,8.641051643,9.652048245,,
103,2007 Aug  ,285350.3512,6.332,134580.2874,419936.9706,1.039371553,4.904100821,5.571479451,,
7,2008 Aug  ,91057,17,44172,135246,1.105053015,4.033280097,4.944641616,,
247,2009 Aug  ,1113759.248,4.43688084,293555.0467,1407318.731,1.077530165,7.845730145,9.022759568,,
91,2010 Aug  ,241823.6723,3.093,94971.36005,336798.1254,1.072656271,4.985804917,5.759267161,,
259,2011 Aug  ,1303456.205,25.985419,182198.7737,1485680.964,1.21195461,8.231001438,9.340348827,,
187,2012 Aug  ,619587.5101,118.0993298,385007.6085,1004713.218,0.787840671,6.214428815,6.83420172,,
67,2013 Aug  ,180783.05,3.41,101789.18,282575.64,0.958848903,4.349517669,5.233330042,,
79,2014 Aug  ,192017.5512,14.805,84564.4727,276596.8289,1.03220654,5.19004441,6.156789408,,
139,2015 Aug  ,374038.946,1.7332,158014.7227,532055.402,1.016202889,6.126888744,6.845494631,,
31,2016 Aug  ,126387.6,7.9,57893.5,184289,1.150801187,4.109344562,5.130740305,,
175,2017 Aug  ,581694.5622,12.60378416,329682.2795,911389.4455,0.832945153,5.950295503,6.638856227,,
199,2018 Aug  ,646145.7115,99.99577275,267171.8537,913417.5609,0.895678199,7.372031479,8.098011897,,
43,2019 Aug  ,144597.1,62.4,69235.4,213894.9,1.115605842,4.238308627,5.129570177,,
55,2020 Aug  ,164217.9,4.4,92841.5,257063.8,1.016008088,4.2218636,5.215619624,,
151,2021 Aug  ,464029.8944,14.136782,173182.4821,637226.5133,1.020033985,5.938030066,6.673461949,,
163,2022 Aug  ,521641.5158,5.6506084,264043.8846,785691.051,0.908987634,5.644507701,6.349268065,,
211,2023 Aug  ,767990.7709,114.4534078,111723.1989,879828.4232,1.203031536,8.931782223,9.879222982,,
19,2024 Aug  ,108919,5,46926,155850,1.112986846,4.060712223,5.043445621,,
155,2003 Dec  ,491699.9487,5.143688,181726.7317,673431.8241,1.061707993,6.024681311,6.780073689,3.109096741,2.763083756
239,2004 Dec  ,1026567.253,11.62803066,322809.7015,1349388.582,1.077226553,7.779117569,9.107559571,2.374056238,2.051788219
203,2005 Dec  ,677967.1503,55.68853959,254581.6197,932604.4586,0.928010781,7.41226342,8.175084945,2.38822522,2.164025768
